Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
7d29eee3-cf90-456e-ba0c-54ba85d9f545,1982-08-02,,999-56-8222,S99972716,X7117408X,Mrs.,Anneliese170,Zieme486,,Hane680,M,white,nonhispanic,F,Burlington  Massachusetts  US,917 DuBuque Flat Suite 14,Brockton,Massachusetts,Plymouth County,02351,42.0699019205542,-71.00258659057522,771886.28,3054.64
04738376-54c3-43be-9a11-7db227dacef8,1910-04-03,1976-09-20,999-45-6910,S99977484,X41030504X,Mr.,Basil991,Kilback373,,,M,white,nonhispanic,M,Oak Bluffs  Massachusetts  US,484 Watsica Meadow,Worcester,Massachusetts,Worcester County,01603,42.30058134223286,-71.82543127601366,15999.45,356.64
edf88782-a417-472b-a027-33ce09693569,1961-04-28,,999-54-5701,S99963267,X41669785X,Mrs.,Michelina932,Parker433,,Koss676,M,white,nonhispanic,F,Lynn  Massachusetts  US,348 Hartmann Fork,Waltham,Massachusetts,Middlesex County,,42.36922557934374,-71.28148115195215,1104239.1,14850.959999999997
cfaf1b3c-5d37-4224-853d-12816d5aec6b,2017-01-30,,999-89-8575,,,,Rosa195,Delgado712,,,,black,hispanic,F,Carolina  Puerto Rico  PR,808 Pfannerstill Extension Apt 91,Springfield,Massachusetts,Hampden County,01119,42.07758907699233,-72.59104284810978,1937.3999999999999,0.0
4c5bfd82-32ad-49e0-95a2-0595ee780c3f,1944-07-17,2009-10-06,999-10-7063,S99956375,X17367992X,Mrs.,Adriane398,Ruecker817,,Oberbrunner298,M,white,nonhispanic,F,Boston  Massachusetts  US,205 Shields Village,Belmont,Massachusetts,Middlesex County,,42.34231897507439,-71.18504067229824,1480502.37,10136.229999999998
2ce68103-81f3-49d5-9c18-083f46d31f1e,2018-11-11,,999-68-8248,,,,Lyndon118,Ruecker817,,,,asian,nonhispanic,M,Brookline  Massachusetts  US,521 Hilll Key Apt 44,Boston,Massachusetts,Suffolk County,02127,42.39933177437642,-71.03080562962944,4180.0,1111.6
78160c0e-4bec-44d7-af2b-81ab8a741419,1970-09-01,,999-96-6610,S99915976,X78227451X,Mrs.,Oliva247,Carroll471,,Koch169,M,white,nonhispanic,F,Stoneham  Massachusetts  US,692 Hodkiewicz Brook Unit 31,Amherst,Massachusetts,Hampshire County,,42.381928548135384,-72.48360867907067,1081012.6,9166.13
2dce0d4e-4b26-4b14-8924-f7925ac42d1f,1967-02-08,,999-55-6549,S99985862,X34087180X,Mrs.,Andrea7,Moreno82,,Negrete68,M,white,hispanic,F,Bayamon  Puerto Rico  PR,664 Kerluke Highlands,Springfield,Massachusetts,Hampden County,01020,42.15914401214331,-72.48741376564399,170892.88,20503.41
d2a59611-59ba-44c2-8ab2-ad0937ef2488,1945-11-26,,999-26-5107,S99949842,X59966722X,Mr.,Hugo693,Villaseñor332,,,S,white,hispanic,M,Ponce  Puerto Rico  PR,989 Treutel Port,Springfield,Massachusetts,Hampden County,01020,42.0413573549236,-72.59323379401783,1522566.77,10897.25
31dd2026-34fa-4933-8a78-834d329e0794,2000-10-25,,999-91-6330,S99974260,,Mr.,Albert312,Nikolaus26,,,,white,nonhispanic,M,Holliston  Massachusetts  US,199 Abshire Lock Unit 94,Hopkinton,Massachusetts,Middlesex County,01748,42.24815058687077,-71.56023278750995,421366.23,4771.7699999999995
0177bbd7-9cf1-484a-924d-e34950c12e34,1997-05-01,,999-82-5649,S99943395,X42279960X,Mr.,Perry780,Crist667,,,,white,nonhispanic,M,Andover  Massachusetts  US,1097 Kuhn Forge Apt 14,Framingham,Massachusetts,Middlesex County,01701,42.31018910373447,-71.48481572093876,535247.21,3311.2599999999998
4afd8265-81f6-4162-9d3c-d494ea2fdc41,2004-03-15,,999-55-2147,,,,Raymundo71,Gorczany269,,,,white,nonhispanic,M,Tyngsborough  Massachusetts  US,305 Streich Trailer Apt 77,Boston,Massachusetts,Suffolk County,02108,42.3751447940333,-71.06279363152893,424059.63,2659.8399999999997
a6c4f385-2ca0-45e0-b34c-1d3cf0859b33,1973-06-10,,999-75-2621,S99920228,X18040925X,Mr.,Lincoln623,Brakus656,,,S,white,nonhispanic,M,Arlington  Massachusetts  US,521 Crist Burg,Franklin,Massachusetts,Norfolk County,,42.07948885240692,-71.38900740372235,1138077.6400000001,5850.32
8234e42b-4c3f-4dc7-9779-1d9b91fafc46,1910-04-03,1972-05-30,999-69-3332,S99984715,X88428551X,Mr.,Dee580,Bayer639,,,M,white,nonhispanic,M,Boston  Massachusetts  US,599 Rowe Avenue Unit 82,Worcester,Massachusetts,Worcester County,01545,42.33197280617749,-71.74830884470632,10025.109999999999,0.0
3d8b5ab0-94c8-4c40-bde7-0ede0f14d7ba,1944-07-17,1985-07-08,999-32-6032,S99960183,X86705556X,Mrs.,Aleisha941,Herman763,,Medhurst46,M,white,nonhispanic,F,Stoughton  Massachusetts  US,321 Gleason Union Unit 66,Belmont,Massachusetts,Middlesex County,02478,42.42614970804821,-71.2207444487848,774183.65,10841.319999999998
5d8f8091-3b1d-4a1b-b0ab-9b7a8798f749,1962-09-21,,999-64-8499,S99930767,X70193366X,Mr.,Prince887,Hills818,,,M,white,nonhispanic,M,Boston  Massachusetts  US,857 Halvorson Pathway,Newton,Massachusetts,Middlesex County,02461,42.33566698882524,-71.23941141364791,1181714.84,5648.5199999999995
4750bd2a-4f70-4952-98d1-ede5a0303629,1929-01-28,1979-09-24,999-44-6890,S99973583,X89002375X,Mrs.,Sulema841,Lebsack687,,Schultz619,M,white,nonhispanic,F,Boston  Massachusetts  US,726 Abernathy Village,Wakefield,Massachusetts,Middlesex County,01880,42.45766325637997,-71.05767082300888,1171648.01,9578.079999999998
84dee39a-4fb6-4bca-9328-2e2fcaef93b7,1975-10-31,,999-63-2172,S99964504,X4017777X,Mrs.,Lyndsay952,Satterfield305,,McCullough561,M,white,nonhispanic,F,Dedham  Massachusetts  US,1084 Witting Viaduct Apt 77,Westfield,Massachusetts,Hampden County,01085,42.094326785974275,-72.76603557636943,823927.82,13014.139999999998
6eef38e6-689d-4d43-aa0c-4099abe80808,1985-09-03,,999-69-6741,S99949116,X38427425X,Ms.,Gwendolyn93,Corwin846,,,S,white,nonhispanic,F,Brookline  Massachusetts  US,392 Muller Station Apt 92,Uxbridge,Massachusetts,Worcester County,,42.08101167313423,-71.62489484617466,803371.36,5008.679999999999
cac54e0d-1b34-491b-a003-51335bfac5df,1956-05-14,,999-50-8858,S99965702,X41622058X,Mrs.,Elfriede680,Gislason620,,Crona259,M,white,nonhispanic,F,Middleborough  Massachusetts  US,663 Murray Mews Apt 88,Somerville,Massachusetts,Middlesex County,02143,42.381304328210405,-71.0973626867996,60493.61,3258.4199999999996
62aaf9a9-b083-4fc0-a45d-afb31924ffee,2017-07-09,,999-92-1034,,,,Roselyn270,Powlowski563,,,,white,nonhispanic,F,Hingham  Massachusetts  US,297 Eichmann Manor,Barnstable,Massachusetts,Barnstable County,02648,41.62711869532306,-70.33042549535631,64000.0,1291.6
eb425b89-254c-4dfe-a9b9-692b5932b54d,1964-05-01,,999-56-5728,S99910913,X19481758X,Ms.,Dalia295,Christiansen251,,,S,white,nonhispanic,F,Boxborough  Massachusetts  US,240 Okuneva Avenue,Brockton,Massachusetts,Plymouth County,02351,42.15381957012605,-70.99638965811549,1154498.51,8315.839999999998
